Date,Open,High,Low,Close,Volume
2018-03-09 00:00,9267.07,9410.0,8329.0,9227.0,567082901.1319405
2018-03-10 00:00,9230.0,9490.0,8667.07,8770.22,341210248.41481787
2018-03-11 00:00,8770.22,9740.0,8450.0,9533.57,403491260.9275316
2018-03-12 00:00,9533.57,9888.88,8780.0,9131.34,395562731.86503726
2018-03-13 00:00,9131.34,9474.0,8823.0,9150.0,367353984.7132836
2018-03-14 00:00,9151.92,9333.78,7900.28,8170.0,426058009.75594646
2018-03-15 00:00,8184.01,8430.0,7650.0,8240.98,422130717.47310126
2018-03-16 00:00,8240.98,8611.64,7900.0,8260.0,322355002.16519487
2018-03-17 00:00,8260.0,8348.62,7721.99,7824.8,265973111.6176285
2018-03-18 00:00,7824.01,8317.4,7322.0,8189.99,458311733.5188204
2018-03-19 00:00,8189.0,8705.23,8088.4,8600.0,462654338.98212785
2018-03-20 00:00,8595.01,9050.0,8280.0,8909.98,387879393.4706143
2018-03-21 00:00,8909.96,9177.01,8750.6,8885.0,358157473.3612324
2018-03-22 00:00,8884.82,9100.0,8465.1,8722.9,354804129.3433086
2018-03-23 00:00,8720.0,8909.0,8269.0,8898.03,340755592.544531
2018-03-24 00:00,8898.04,8999.95,8491.0,8546.86,313254829.9051367
2018-03-25 00:00,8531.25,8669.85,8365.77,8470.15,247023172.30795503
2018-03-26 00:00,8470.14,8514.89,7831.0,8134.23,358429758.8731952
2018-03-27 00:00,8134.22,8215.94,7730.0,7795.51,297609656.4404365
2018-03-28 00:00,7795.51,8109.0,7728.0,7949.3,209186093.18317956
2018-03-29 00:00,7949.3,7975.0,6941.11,7090.14,405591158.6323181
2018-03-30 00:00,7090.16,7292.43,6600.1,6840.23,450352009.170998
2018-03-31 00:00,6840.24,7223.36,6777.0,6923.91,258341534.47236213
2018-04-01 00:00,6922.0,7049.98,6430.0,6813.01,297470498.81956285
2018-04-02 00:00,6813.01,7125.0,6765.0,7056.0,224322159.41331607
2018-04-03 00:00,7063.97,7520.0,7011.01,7405.21,277080072.7617128
2018-04-04 00:00,7405.21,7427.52,6707.0,6796.1,297443582.7461225
2018-04-05 00:00,6796.1,6902.0,6566.69,6770.76,263446941.1321242
2018-04-06 00:00,6770.0,6850.0,6500.0,6601.39,182139799.80865908
2018-04-07 00:00,6601.39,7070.0,6586.28,6895.8,222323863.54144785
2018-04-08 00:00,6895.81,7109.13,6880.0,7018.0,149967346.66269
2018-04-09 00:00,7011.04,7185.0,6611.0,6782.72,234309953.7503344
2018-04-10 00:00,6781.55,6890.0,6656.0,6843.9,151417844.2663968
2018-04-11 00:00,6839.56,6990.0,6787.0,6953.79,165264003.41270605
2018-04-12 00:00,6953.78,8012.23,6743.2,7923.0,485176252.48933566
2018-04-13 00:00,7922.99,8233.39,7732.0,7877.41,439884522.7119489
2018-04-14 00:00,7877.48,8186.0,7810.0,7999.01,252868761.32061628
2018-04-15 00:00,8004.0,8429.54,7999.02,8355.0,230287099.58430216
2018-04-16 00:00,8355.07,8419.0,7867.0,8064.92,295817536.4749528
2018-04-17 00:00,8064.92,8173.7,7825.4,7885.02,258221765.57371348
2018-04-18 00:00,7890.96,8236.43,7868.0,8173.0,217649160.11017892
2018-04-19 00:00,8173.99,8296.0,8080.0,8278.0,222675105.7884542
2018-04-20 00:00,8273.84,8930.0,8177.09,8856.98,337288580.42571294
2018-04-21 00:00,8852.12,9035.0,8565.0,8915.31,358915978.10403395
2018-04-22 00:00,8915.31,9020.67,8727.68,8787.02,261804372.9093471
2018-04-23 00:00,8785.7,8985.0,8745.0,8934.01,229754640.59668773
2018-04-24 00:00,8934.0,9731.01,8922.0,9619.99,431210048.0625035
2018-04-25 00:00,9618.96,9759.82,8730.0,8869.99,745137762.9688668
2018-04-26 00:00,8869.99,9307.48,8651.62,9266.0,385046648.1378661
2018-04-27 00:00,9267.03,9395.0,8889.0,8915.35,342805674.55176014
2018-04-28 00:00,8915.35,9427.48,8870.0,9348.0,321653866.2001887
2018-04-29 00:00,9348.0,9570.51,9163.74,9419.0,357004895.9636862
2018-04-30 00:00,9417.04,9458.64,9124.99,9246.01,325019389.2499412
2018-05-01 00:00,9246.01,9248.99,8800.49,9071.48,368688349.6216845
2018-05-02 00:00,9071.48,9268.0,8970.2,9247.84,238421833.7581133
2018-05-03 00:00,9247.81,9844.0,9168.4,9750.0,366028365.2271445
2018-05-04 00:00,9750.0,9830.04,9520.85,9713.99,277565997.63316435
2018-05-05 00:00,9714.0,10020.0,9682.0,9864.0,246807563.50646487
2018-05-06 00:00,9863.99,9970.0,9417.03,9659.01,267359420.30359015
2018-05-07 00:00,9661.02,9689.67,9181.0,9365.0,316015961.44182944
2018-05-08 00:00,9365.0,9475.7,9060.54,9187.56,236418155.68693513
2018-05-09 00:00,9178.0,9390.0,8965.0,9310.0,235736782.28825977
2018-05-10 00:00,9310.0,9395.12,8970.0,9002.2,231595002.59561664
2018-05-11 00:00,9002.21,9016.8,8341.0,8400.0,418859806.4816156
2018-05-12 00:00,8405.94,8646.88,8153.0,8465.94,337899865.8601308
2018-05-13 00:00,8475.44,8763.36,8298.0,8679.71,219455683.08035553
2018-05-14 00:00,8679.71,8879.99,8277.0,8663.34,320583612.23009104
2018-05-15 00:00,8663.37,8859.99,8401.3,8462.0,242341031.0616692
2018-05-16 00:00,8462.0,8488.0,8083.01,8330.0,257056552.43007565
2018-05-17 00:00,8330.0,8464.0,7979.0,8041.46,209489039.34104192
2018-05-18 00:00,8038.82,8273.21,7911.9,8239.81,189870380.85778692
2018-05-19 00:00,8238.01,8390.8,8095.73,8233.49,141878775.40909585
2018-05-20 00:00,8233.49,8609.0,8163.9,8526.98,167440553.7493928
2018-05-21 00:00,8526.97,8595.31,8305.0,8381.24,181750674.82134953
2018-05-22 00:00,8386.89,8400.18,7935.11,7977.11,194335432.4375409
2018-05-23 00:00,7977.12,8031.9,7425.0,7501.95,331238049.64074606
2018-05-24 00:00,7501.95,7730.73,7266.99,7575.01,284286378.50810045
2018-05-25 00:00,7578.99,7649.55,7308.15,7457.0,199749585.9695036
2018-05-26 00:00,7456.99,7620.0,7300.0,7333.96,145636226.4590289
2018-05-27 00:00,7334.0,7400.0,7231.11,7338.99,136710618.49801704
2018-05-28 00:00,7338.99,7437.0,7058.02,7099.0,196788994.26580808
2018-05-29 00:00,7099.0,7540.0,7032.95,7461.29,288070643.9128678
2018-05-30 00:00,7467.98,7569.0,7260.5,7375.96,237956894.04949045
2018-05-31 00:00,7382.07,7699.0,7327.51,7485.01,231017579.83413267
2018-06-01 00:00,7485.01,7608.55,7355.54,7521.01,211458512.1230823
2018-06-02 00:00,7521.01,7697.33,7437.0,7640.03,203370447.69065264
2018-06-03 00:00,7636.81,7786.69,7600.0,7714.26,211737376.85348508
2018-06-04 00:00,7714.26,7760.52,7446.5,7487.0,244167051.18701583
2018-06-05 00:00,7487.0,7679.49,7358.0,7625.0,237722147.65258065
2018-06-06 00:00,7626.64,7699.0,7467.05,7658.84,207006657.7801965
2018-06-07 00:00,7658.79,7765.0,7620.0,7691.08,192949056.8419996
2018-06-08 00:00,7691.08,7703.5,7531.0,7603.44,178204158.39968467
2018-06-09 00:00,7603.44,7683.98,7450.0,7491.73,147171153.412775
2018-06-10 00:00,7491.73,7491.73,6622.81,6764.99,367338754.56308055
2018-06-11 00:00,6765.0,6922.0,6610.0,6872.0,233056682.85777128
2018-06-12 00:00,6872.0,6890.51,6435.0,6530.0,245787800.8012235
2018-06-13 00:00,6530.0,6627.6,6118.68,6292.78,295395681.6623412
2018-06-14 00:00,6292.78,6720.0,6260.0,6635.98,289074808.78413
2018-06-15 00:00,6638.67,6666.66,6362.31,6388.9,196192096.14553955
2018-06-16 00:00,6380.01,6560.0,6320.86,6483.98,143760033.69408152
2018-06-17 00:00,6482.5,6589.03,6422.0,6449.61,129120718.76299886
2018-06-18 00:00,6444.06,6794.38,6380.0,6712.46,208570443.95997888
2018-06-19 00:00,6711.39,6841.74,6653.0,6741.21,163420093.794135
2018-06-20 00:00,6740.0,6817.23,6551.81,6761.51,175935335.65057912
2018-06-21 00:00,6763.21,6795.0,6672.57,6718.84,171149859.23602843
2018-06-22 00:00,6717.69,6733.97,5918.94,6045.0,327460666.9145165
2018-06-23 00:00,6045.92,6260.0,6008.48,6149.98,162755765.84514263
2018-06-24 00:00,6149.98,6259.8,5750.0,6136.97,284095336.0578902
2018-06-25 00:00,6137.95,6350.0,6061.97,6252.0,242859915.8036461
2018-06-26 00:00,6252.0,6272.54,6035.0,6070.78,119676555.56449406
2018-06-27 00:00,6065.89,6190.43,5971.0,6133.73,117103011.80356833
2018-06-28 00:00,6134.73,6173.01,5827.0,5853.98,185247010.87925187
2018-06-29 00:00,5851.01,6300.0,5780.0,6197.92,201409363.91549844
2018-06-30 00:00,6197.92,6528.99,6186.03,6390.07,241568568.0310778
2018-07-01 00:00,6391.08,6441.06,6251.0,6356.81,175096501.49486908
2018-07-02 00:00,6360.82,6685.0,6271.62,6615.29,235524330.64865333
2018-07-03 00:00,6615.29,6679.35,6463.01,6513.86,254550438.13768885
2018-07-04 00:00,6511.01,6784.92,6441.11,6586.98,156277884.33011597
2018-07-05 00:00,6585.53,6712.0,6453.33,6529.2,230809190.30740517
2018-07-06 00:00,6529.2,6648.54,6425.0,6609.78,192230903.67599213
2018-07-07 00:00,6609.79,6818.16,6508.88,6756.98,158034155.17779145
2018-07-08 00:00,6753.48,6780.0,6667.44,6712.1,165941351.79836008
